3 3 0	1010010111001010
1 1 0	0100000111001010
1 1 0	1001010011001010
1 1 0	1000001011101010
1 1 0	1010110100000010
1 1 0	1110101110001010
2 2 0	0110110111001010
2 2 0	0010100101001010
2 2 0	1010000100101110
2 2 0	1010011110111000
2 2 0	1010010011111011
2 2 0	1010010101000110
2 2 0	1010010110000100
2 2 0	1010010111011001
2 2 0	1101011111001010
3 3 0	1011011011011010
3 3 0	1010010111101101
0 0 0	0000111110001010
0 0 0	0110011011101010
0 0 0	0100100100000010
0 0 0	0100000110000100
1 1 0	0011001111001010
1 1 0	0111000011001010
1 1 0	0100010100101110
1 1 0	0100001110111000
1 1 0	0100000011111011
1 1 0	0100000101000110
1 1 0	0100000111011001
1 1 0	1000100111001010
2 2 0	0100000111101101
2 2 0	1100110101001010
3 3 0	0101001011011010
0 0 0	1001110000000010
0 0 0	1001000000101110
0 0 0	1001010001000110
1 1 0	0101110011001010
1 1 0	0001100001001010
1 1 0	1001010111111011
1 1 0	1001010010000100
1 1 0	1001010011011001
1 1 0	1110011011001010
2 2 0	1011001111101010
2 2 0	1000011111011010
2 2 0	1001011010111000
2 2 0	1001010011101101
2 2 0	1101101010001010
0 0 0	1000101000100010
0 0 0	1000000010011000
0 0 0	1000001001100110
1 1 0	0100101011101010
1 1 0	0000111001101010
1 1 0	1000011000001110
1 1 0	1000001010100100
1 1 0	1100110010101010
2 2 0	1001000111111010
2 2 0	1000001111011011
2 2 0	1000001011001101
2 2 0	1000001011111001
2 2 0	1111000011101010
1 1 0	0110010100000010
1 1 0	0010000110000010
1 1 0	1010100111100110
1 1 0	1010111101110000
1 1 0	1010110000110011
1 1 0	1010110100010001
1 1 0	1101111100000010
2 2 0	1011111000010010
2 2 0	1010110110001110
2 2 0	1010110101001100
2 2 0	1110001101000010
3 3 0	1010110100100101
0 0 0	1001100110001010
1 1 0	0010001110001010
1 1 0	0110011100001010
1 1 0	1110111101101110
1 1 0	1110100111111000
1 1 0	1110101010111011
1 1 0	1110101100000110
1 1 0	1110101111000100
1 1 0	1110101110011001
1 1 0	1111100010011010
2 2 0	1110101110101101
1 1 0	0001111111001010
1 1 0	0110111110111000
1 1 0	0110110011111011
1 1 0	0110110101000110
1 1 0	0110110110000100
1 1 0	0110110111011001
2 2 0	0111111011011010
2 2 0	0110100100101110
2 2 0	0110110111101101
2 2 0	1110000101001010
1 1 0	0010101100111000
1 1 0	0010100001111011
1 1 0	0010100111000110
1 1 0	0010100100000100
2 2 0	0101101101001010
2 2 0	0010110110101110
2 2 0	0010100101101101
2 2 0	0010100101011001
3 3 0	0011101001011010
0 0 0	1010000000011111
1 1 0	1011001000111110
1 1 0	1010001101011100
1 1 0	1010000101100000
1 1 0	1010000100001001
2 2 0	1010000110100010
2 2 0	1010000100111101
2 2 0	1101001100101110
1 1 0	1010011010001001
2 2 0	1011010010101000
2 2 0	1010011100110100
2 2 0	1010011111110110
2 2 0	1010011110011111
2 2 0	1010011110101011
2 2 0	1101010110111000
1 1 0	1010010001110111
1 1 0	1010010011101000
2 2 0	1011011111101011
2 2 0	1010010010110101
2 2 0	1010010011011100
2 2 0	1101011011111011
1 1 0	1010010100001000
1 1 0	1101011101000110
2 2 0	1011011001010110
2 2 0	1010010101100001
2 2 0	1010010101010101
1 1 0	1101011110000100
2 2 0	1011011010010100
3 3 0	1010010110100011
3 3 0	1010010110010111
1 1 0	1101011111011001
2 2 0	1011011011001001
2 2 0	1010010111111110
2 2 0	1100010011011010
2 2 0	1101011111101101
2 2 0	1011011011111101
0 0 0	0111110110001010
0 0 0	0010100010101010
0 0 0	0000110111111000
0 0 0	0000111111000100
0 0 0	0000111110011001
0 0 0	1000001100001010
1 1 0	0011111010001010
1 1 0	0001110010011010
1 1 0	0000011101000010
1 1 0	0000101101101110
1 1 0	0000111010111011
1 1 0	0000111100000110
1 1 0	0000111110101101
1 1 0	1100011110001010
0 0 0	0110111000100010
0 0 0	0110010010011000
0 0 0	0110011001100110
1 1 0	0001010011101010
